# Potential function.
#  r             r*V(r)
   4.683042E-01 -9.866970E+00
   4.700728E-01 -9.825112E+00
   4.718414E-01 -9.783512E+00
   4.736100E-01 -9.742167E+00
   4.753785E-01 -9.701077E+00
   4.762628E-01 -9.680626E+00
   4.771471E-01 -9.660239E+00
   4.780314E-01 -9.639914E+00
   4.789157E-01 -9.619652E+00
   4.798000E-01 -9.599452E+00
   4.806843E-01 -9.579315E+00
   4.815686E-01 -9.559239E+00
   4.824528E-01 -9.539225E+00
   4.833371E-01 -9.519273E+00
   4.842214E-01 -9.499382E+00
   4.859900E-01 -9.459784E+00
   4.868743E-01 -9.440076E+00
   4.877586E-01 -9.420429E+00
   4.886429E-01 -9.400843E+00
   4.895271E-01 -9.381316E+00
   4.912957E-01 -9.342443E+00
   4.930643E-01 -9.303810E+00
   4.939486E-01 -9.284582E+00
   4.948329E-01 -9.265413E+00
   4.957172E-01 -9.246304E+00
   4.966014E-01 -9.227253E+00
   4.983700E-01 -9.189326E+00
   4.992543E-01 -9.170451E+00
   5.001386E-01 -9.151633E+00
   5.010229E-01 -9.132873E+00
   5.019072E-01 -9.114171E+00
   5.036757E-01 -9.076940E+00
   5.054443E-01 -9.039937E+00
   5.072129E-01 -9.003161E+00
   5.080972E-01 -8.984858E+00
   5.089815E-01 -8.966611E+00
   5.098658E-01 -8.948420E+00
   5.107500E-01 -8.930285E+00
   5.116343E-01 -8.912206E+00
   5.125186E-01 -8.894183E+00
   5.142872E-01 -8.858302E+00
   5.160558E-01 -8.822641E+00
   5.178243E-01 -8.787199E+00
   5.187086E-01 -8.769560E+00
   5.195929E-01 -8.751975E+00
   5.213615E-01 -8.716966E+00
   5.231301E-01 -8.682173E+00
   5.240144E-01 -8.664856E+00
   5.248986E-01 -8.647593E+00
   5.257829E-01 -8.630383E+00
   5.266672E-01 -8.613225E+00
   5.284358E-01 -8.579068E+00
   5.293201E-01 -8.562068E+00
   5.302044E-01 -8.545121E+00
   5.310887E-01 -8.528225E+00
   5.319729E-01 -8.511382E+00
   5.337415E-01 -8.477849E+00
   5.355101E-01 -8.444523E+00
   5.372787E-01 -8.411400E+00
   5.390472E-01 -8.378481E+00
   5.408158E-01 -8.345764E+00
   5.425844E-01 -8.313247E+00
   5.443530E-01 -8.280929E+00
   5.452373E-01 -8.264845E+00
   5.461215E-01 -8.248810E+00
   5.478901E-01 -8.216887E+00
   5.490047E-01 -8.196870E+00
   5.501192E-01 -8.176931E+00
   5.512337E-01 -8.157068E+00
   5.523483E-01 -8.137283E+00
   5.545774E-01 -8.097941E+00
   5.556919E-01 -8.078384E+00
   5.568064E-01 -8.058902E+00
   5.579210E-01 -8.039496E+00
   5.590355E-01 -8.020165E+00
   5.601501E-01 -8.000908E+00
   5.612646E-01 -7.981726E+00
   5.623791E-01 -7.962618E+00
   5.634937E-01 -7.943584E+00
   5.646082E-01 -7.924623E+00
   5.657228E-01 -7.905736E+00
   5.668373E-01 -7.886921E+00
   5.679519E-01 -7.868179E+00
   5.690664E-01 -7.849510E+00
   5.701809E-01 -7.830912E+00
   5.712955E-01 -7.812387E+00
   5.724100E-01 -7.793933E+00
   5.735246E-01 -7.775550E+00
   5.746391E-01 -7.757238E+00
   5.768682E-01 -7.720826E+00
   5.779827E-01 -7.702725E+00
   5.790973E-01 -7.684694E+00
   5.802118E-01 -7.666733E+00
   5.813263E-01 -7.648841E+00
   5.824409E-01 -7.631018E+00
   5.835554E-01 -7.613264E+00
   5.846700E-01 -7.595579E+00
   5.857845E-01 -7.577961E+00
   5.868990E-01 -7.560412E+00
   5.880136E-01 -7.542930E+00
   5.891281E-01 -7.525516E+00
   5.902427E-01 -7.508169E+00
   5.913572E-01 -7.490888E+00
   5.924718E-01 -7.473675E+00
   5.935863E-01 -7.456527E+00
   5.947008E-01 -7.439446E+00
   5.969299E-01 -7.405481E+00
   5.980445E-01 -7.388597E+00
   5.991590E-01 -7.371778E+00
   6.002735E-01 -7.355023E+00
   6.013881E-01 -7.338333E+00
   6.036172E-01 -7.305146E+00
   6.047317E-01 -7.288648E+00
   6.058462E-01 -7.272214E+00
